,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,type,nb_users
sblc,0.0672356433840588,1.733272306560195e-07,0.6376811594202898,6.7997,0.0789979030641453,1.9185311452311443e-07,1.1884057971014494,7.04485,0.0620627397878582,1.810084305864291e-07,0.6956521739130433,8.037,0.0675990675990676,1.717225089223149e-07,0.6376811594202898,6.6384,change,351
tcroit,0.0679926896131586,1.522887032076434e-07,0.2898550724637681,8.56345,0.1075159489633173,8.715052807496713e-08,-0.0553775743707094,6.3317,0.079337715947623,1.3022675348706898e-07,-0.0362318840579709,8.87285,0.0668466954563833,1.834170632445809e-07,0.5579710144927537,8.59565,buzz,200
salopeeeee,0.0878431372549019,1.5423139696473628e-07,0.391304347826087,7.1648,0.0932519010016816,1.2268018385386772e-07,0.1495388669301713,7.16025,0.1005010315355142,1.40985325277472e-07,0.217391304347826,6.2697,0.0767213748894783,1.7034082601924865e-07,0.4635913750441852,7.28185,buzz,263
kecho,0.0676593118984175,1.683856951517916e-07,0.391304347826087,8.1487,0.06184012066365,1.930868702837235e-07,1.4057971014492756,4.5315,0.0787084555229716,1.2983843988419425e-07,0.072463768115942,8.003599999999999,0.0661746617466174,1.919293588426776e-07,0.5072463768115942,8.1983,buzz,933
caley,0.0971348707197763,1.318725651645442e-07,0.2898550724637681,6.4263,0.1210212935051392,1.423831323823534e-07,0.1077075098814229,9.46285,0.1142519452378607,1.2740630095195468e-07,0.1449275362318841,6.4575,0.0890199501960671,1.346452304519324e-07,0.391304347826087,6.35135,buzz,425
mddd,0.0688676027658147,1.7160474551061773e-07,0.4441498762813715,8.04185,0.1587570621468926,8.541990823375821e-08,0.463768115942029,4.8702,0.0673035405872193,1.4362628481680016e-07,0.1884057971014492,8.3417,0.0696044909249013,1.915781009451453e-07,0.5869565217391306,7.9352,buzz,800
mddddddrr,0.0678694158075601,1.6878037684953232e-07,0.5217391304347827,8.3696,0.1051968155683325,8.306692234693987e-08,0.2608695652173912,9.18495,0.074942690883442,1.3429906860199456e-07,0.1594202898550725,8.2428,0.0655785888381922,1.879185206045472e-07,0.753623188405797,8.4056,buzz,1631
ptddddddddddddddddddddr,0.0641942390821314,1.7422895389231168e-07,0.4927536231884059,8.8367,0.05,1.2014899852563198e-07,-0.0289855072463767,8.1369,0.078272604588394,1.3952581960139332e-07,0.1304347826086956,8.6481,0.0626130317981493,1.986589924242614e-07,0.6521739130434783,8.896,buzz,721
sdeh,0.0788448257060811,1.4937808269437385e-07,0.1884057971014492,7.65505,0.1329365079365079,1.1798014746878218e-07,-0.1707317073170731,3.9725,0.0823019270204964,1.1786909176498593e-07,0.0579710144927536,7.580450000000001,0.0779897820873735,1.6480043390929024e-07,0.2753623188405797,7.7513,buzz,350
mchanger,0.0683497383593814,1.650551630682121e-07,0.4057971014492754,8.31035,0.191732374768089,1.220693863666601e-07,0.0217391304347825,6.093500000000001,0.0836415521239888,1.3020104550282369e-07,0.2391304347826086,8.82755,0.0645633267489821,1.8245257656874908e-07,0.5,8.219650000000001,buzz,321
ptddddddddrrr,0.0643115063842586,1.844278044120983e-07,0.6086956521739132,8.805250000000001,0.0365914786967418,9.014537579497606e-08,-0.217391304347826,8.5989,0.070107088627827,1.455303037719755e-07,0.1449275362318841,8.6922,0.0626827570201902,2.125979912738055e-07,0.7815482502651114,8.82765,buzz,558
ptaaaain,0.0757147869415702,1.6228817344803844e-07,0.4347826086956524,7.5073,0.1020570359981299,1.4435942133974464e-07,1.3478260869565224,3.4274,0.0850788908562738,1.3326046895832897e-07,0.2898550724637681,7.30775,0.0742012618259707,1.7760798708764506e-07,0.5072463768115942,7.52925,buzz,394
feeu,0.0729088639200998,1.628203123690548e-07,0.3768115942028985,8.8826,0.2512254901960784,7.323102260157339e-08,-0.1986166007905138,7.69765,0.0782608695652174,1.3979132600186318e-07,0.0289855072463768,8.2945,0.0700870506305288,1.7848857321033058e-07,0.5724637681159421,9.04865,buzz,425
jmenbrouille,0.0676532769556025,1.5123211105359553e-07,0.2898550724637681,8.7744,0.0293784504092899,1.5768461960591344e-07,-0.0362318840579709,7.4666,0.064677700348432,1.2368095062496122e-07,0.0,8.58755,0.0681818181818181,1.646066322810726e-07,0.4492753623188405,8.8879,buzz,476
jnoune,0.068571908786477,1.524659818601629e-07,0.3478260869565218,8.0626,0.1378608901702349,1.1963280602596334e-07,0.1999341238471673,10.825,0.0703362429202928,1.27610151353946e-07,0.1333992094861659,7.12865,0.067553035200094,1.605529928189845e-07,0.4202898550724638,8.253150000000002,buzz,674
billay,0.0791984902968884,1.750322152224571e-07,0.3768115942028985,8.17455,0.1214539007092198,1.288432455826806e-07,0.2926829268292683,5.6868,0.0875804199454514,1.441116018233312e-07,0.1304347826086956,7.664149999999999,0.0762250453720508,1.930834639357474e-07,0.4927536231884059,8.36,buzz,2048
mddrrrrrrrrrrrrr,0.0648845661958757,1.836630101482124e-07,0.7826086956521741,6.8301,0.0380952380952381,8.686345513363964e-08,-0.2608695652173913,7.0901,0.0747205899297154,1.3755108140917484e-07,0.3768115942028985,6.3907,0.0624476107071758,2.0979537904747078e-07,0.927536231884058,6.9055,buzz,263
jmambiance,0.0637620444072057,1.9092617948463682e-07,0.5942028985507247,7.7728,0.0802968960863697,1.1468527462428818e-07,-0.0724637681159419,5.5608,0.079396040528552,1.454922536679569e-07,0.0652173913043478,7.01765,0.063112326270221,2.089484388262461e-07,0.6231884057971014,7.8506,change,338
jface,0.0669856459330143,1.5517588916238514e-07,0.217391304347826,8.755,0.0971153846153846,1.2276743041438644e-07,-0.0434782608695651,6.7023,0.0656703134161104,1.383436507926524e-07,0.0652173913043478,8.360299999999999,0.0658442899901462,1.693971758224638e-07,0.4492753623188405,9.03375,buzz,243
aeq,0.071624425412558,1.476339592070929e-07,0.4492753623188405,9.1478,0.0980289121855386,1.09010744510919e-07,0.242094861660079,6.5081,0.077041011471092,1.3071927042655668e-07,0.181159420289855,8.875150000000001,0.069644137582697,1.898711136748204e-07,0.7681159420289854,9.24115,buzz,538
